Asunto;Radicado;Serie Documental;Sub-Serie documental;
SOLICITUD DE INFORMACI&OacuteN PARA VERIFICAR LA PERTINENCIA LA SOSTENIBILIDAD Y EL IMPACTO DEL PROYECTO ?FORTALECIMIENTO PARA EL DESARROLLO DE INFRAESTRUCTURA SOCIAL Y H&AacuteBITAT PARA LA INCLUSI&OacuteN SOCIAL A NIVEL NACIONAL ? FIP - NACIONAL? EN LOS MUNICIPIOS QUE SUSCRIBIERON CONVENIO ADMINISTRATIVO CON PROSPERIDAD SOCIAL.-CONTRALORIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
INFORME CUIPO CORTE DICIEMBRE DE 2022 ) CUYO FORMULARIO SE ENCUENTRA DISPONIBLE EN EL SISTEMA CONSOLIDADOR DE HACIENDA E INFORMACI&OacuteN FINANCIERAPUBLICA � CHIP-SECRETARIA DE HACIENDA ;;;;
INVITACION MESA DE TRABAJO PARA ATENCION A VICTIMAS ACADEMIA AUTORALLY PARA EL DIA 13 DE ENERO DE 2023 A LAS 2:00 P.M EN LA SECRETARIA DE GOBIERNO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COMUNICACI&OacuteN DEL AUTO 61 DEL 04 DE ENERO DEL 2023. EXP: 15987-CORTOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
SOLICITUD DE INTERVENCION A QUIEN CORRESPONDA-QUEJA POR ALTO RUIDO POR NEGOCIOS CERCA A CONJUNTO RESIDENCIAL FLORIDA III-PETICION DE LA SE&NtildeORA JACQUELINE CHAPARRO BONILLAIII ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO A LA SECRETARIA DE SALUD-SOLICITUD DE CIERREY/O SELLAMIENTO ESTABLECIMIENTO CRIADERODE CERDOS EN EL BARRIO LA POLA-PETICION ANONIMA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE CERTIFICACION CONTRACTUAL-PETICION DEL CONTRATISTA RICARDO RUBIO ACOSTA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE ACOMPA&NtildeAMIENTO PROCEDIMIENTOS POLICIALES PARA EL DIA 11 DE ENERO DE 2023 EN EL BARRIO MODELIA 1 EN LA INSTALACION LA ESTACION DE POLICIA NORTE DE IBAGUE BARRIO EL SALADO - REMITE POLICIA METROPOLITANA DE IBAGUE  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
INFORME DE ACTIVIDADES DESARROLLADAS DISTRITO UNO DE POLIC&IacuteA IBAGU&Eacute DEL 02 DE ENERO AL 09 DE ENERO DE 2023- REMITE POLICIA METROPOLITANA DE IBAGUE  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO A EL SE&NtildeOR  CARLOS ENRIQUE AR&EacuteVALO VILLAMIZAR -TRASLADO POR COMPETENCIA - RESPUESTA A GESTI&OacuteN DE LA PETICI&OacuteN E-2022-0007-408719 -PROSPERIDAD SOCIAL ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
COPIA DE OFICIO A CONTRALORIA MUNICIPAL-SOLICITUD ACLARACION DE RESOLUCION 305 DEL 26 DE DICIEMBRE DE 2022 PUNTOS DE CONTROL-OFICINA DE CONTROL INTERNO ALCALDIA MUNICIPAL ;;;;
SOLICITUD ACOMPA&NtildeAMIENTO DILIGENCIA AUDIENCIA PUBLICA QUERELLANTE:GLORIA ETELA SEPULVEDA APODERADA APP GICA QUERELLADO: GILBERTO TORRES VELOZA-SECRETARIA DE GOBIERNO ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
TRASLADO POR COMPETENCIA CON REMISION NUMERO E-2022-731319 PRESENTADO POR EL SE&NtildeOR NOE DE JES&UacuteS GUAJE PINTO- REMITE PROCURADURIA  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INTERVENCION ANTE LA CENTRAL DE ESPECIALISTAS DE COLOMBIA S.A.S -VULNERACI&OacuteN DEL DERECHO A LA SALUD Y SOLICITUD DE CITA CON MEDICINA INTERNA CON RESULTADOS-PETICION DE LA SE&NtildeORA ARGENIS SANCHEZ HERNANDEZ  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INTERVENCION ANTE COIBA PICALE&NtildeA-CASO DEL PPL JORGE LUIS SAAVEDRA LOPEZ DEL PATIO 12 QUIEN SE ENCUENTRA EN EL CALABAZO EN MALAS CONDICIONES DEBIDO A UNA PELEA CON OTRO PRESO-PETICION DE LA SE&NtildeORA  ELIZABETH GOMEZ PICO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INSCRIPCI&OacuteN EN EL LIBRO DE REGISTRO &UacuteNICO DE V&IacuteCTIMAS - RADICADO  POR DIEGO ALEXANDER TAPIAS ARDILA. ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
SOLICITUD DE INFORMACI&OacuteN ESTUDIOS DE NIVEL DE RIESGO PARA LAS SE&NtildeORA ANA LIDDA LOPEZ CESPEDES - RADICADO UNIDAD NACIONAL DE PROTECCI&OacuteN ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
FIJACION DE AVISOS PAF:8939-CORTOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
SOLICITUD DE NORMATIVIDAD LINEAMIENTOS MEDIDAS PANDEMIA COVID 19  Y SUS VARIANTES - COMPLEJO PENITENCIARIO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE RESTITUCION DEL ESPACIO PUBLICO Y TRANQUILIDAD DE LA COMUNIDAD EN LA URBANIZACION LAS AMAERICAS COMUNA 9 - RADICA MONICA LUCIA ROJAS  ;;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;
APERTURA DE INVESTIGACION DISCIPLINARIA EXP N. 120-0001-2023-EN CONTRA DEL FUNCIONARIO CARLOS ANDRES ARIAS OPERARIO GRADO 3 DEL IBAL-PETICION DEL IBAL ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
CAMBIO REPOSICION DE REDES DE ALCANTARILLADO y RECUPERACION DE LA MALLA VIAL DE LA CARRERA 6 y 7 CON ENTRE CALLE 71  y 74 - MANZANAS 01 02 04 Y 05 DEL BARRIO JORDAN ETAPA 04 ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
NOTIFICA ADMISION TUTELA DE SEGUNDA INSTANCIA 73001-40-09-015-2022-00253-00- ACCI&OacuteN DE TUTELA: 73001-40-09-015-2022-00253-00  ACCIONANTE: PERSONER&IacuteA MUNICIPAL DE IBAGU&Eacute EN REPRESENTACI&OacuteN DEL SE&NtildeOR ALFONSO IBARRA SANCHEZ  ACCIONADO: SALUD TOTAL EPS - JUZGADO QUINTO PENAL DEL CIRCUITO  ;;TUTELAS;TUTELAS;
NOTICIA: DUROS CUESTIONAMIENTOS DEL CONCEJAL CASTILLO A INTERASEO POR MANEJO A LAS BASURAS-EMISORA ONDAS DE IBAGUE ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE VIGILANCIA ADMINISTRATIVA AL PROCESO DE VERIFICACION DE CUMPLIMIENTO DE LA NORMATIVIDAD DE USO DE SUELO CON NUMERO DE RADICADO 2022-058940-PETICION DEL SE&NtildeOR ANDRES FELIPE ROBAYO CARDOZO ;;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;
SOLICITUD DE INFORMACION ESTUDIOS DE NIVEL DE RIESGO DEL SE&NtildeOR MILTON RESTREPO RUIZ-UNIDAD NACIONAL DE PROTECCION ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INTERVENCION ANTE EPS SALUD TOTAL-SOLICITUD DE ESPECIALIDAD DE CITA ELECROMOGRFIA EN EXATRMIDAD UNO O MAS MUSCULO-PETICION DE LA SE&NtildeORA YENSI LLYSETH AROS RUBIO  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE  INTERVENCION DE APOYO DE ADULTO MAYOR  PARA EL SE&NtildeOR JOSE RODRIGUEZ PARRA-  REMITE JOSE RODIRGUEZ PARRA  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
RESPUESTA A RADICADO PISAMI 738 DE NUMERO DE 2023-EXISTENCIA AUTORIDAD TRADICIONAL -SECRETARIA DE DESARROLLO SOCIAL COMUNITARIO ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
SOLICITUD CERTIFICACI&OacuteN CONTRATOS VIGENCIA 2022 -PETICION DEL SE&NtildeOR ANDRES LEONARDO GARCIA PRADA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE SEGUIMIENTO A DERECHO DE PETICI&OacuteN EN EL MARCO DEL CUMPLIMIENTO DEL PLAN DE RETORNO Y REUBICACI&OacuteN DE 65 N&UacuteCLEOS DE FAMILIAS VICTIMAS DEL CONFLICTO ARMADO DEL BARRIO VILLA DEL SOL POR PARTE DE LA ALCALD&IacuteA DE IBAGU&Eacute TOLIMA-PETICION DEL SE&NtildeOR GERMAN DAR&IacuteO BERNAL ORDO&NtildeEZ ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
INFORMACION SITUACION DE HACINAMIENTO ACTUAL EN LA PERMANENTE CENTRAL-POLICIA METROPOLITANA DE IBAGUE ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
ACTA MESA DE TRABAJO ASUNTOS PENITENCIAROS ESTABLECIMIENTO DE COIBA - PICALE&NtildeA 16 DE DICIEMBRE 2022-UNIDAD DE SERVICIOS PENITENCIARIOS Y CARCELARIOS ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INTERVENCION ANTE SECRETARIA DE EDUCACION-SOLICITUD DE CUPO PARA GRADO 5 DE PRIMARIA PARA EL MENOR  JOSE DANIEL CONTRERAS BOCANEGRA QUIEN PADECE AUTISMO AT&IacutePICO-EPILEPSIA EN EL COLEGIO INSTITUTO T&EacuteCNICO EDUCATIVO LA SAGRADA FAMILIA- SEDE JULIA CALDER&OacuteN-PETICION DE LA SE&NtildeORA HILDA LILIANA BOCANEGRA QUINTANA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INTERVENCI&OacuteN A QUIEN CORRESPONDA-CASO DE POSIBLE CASO DE NEGLIGENCIA M&EacuteDICA DE LA SE&NtildeORA MAR&IacuteA ARGENIS N&Uacute&NtildeEZ HERN&AacuteNDEZ QUEN SE ENCUENTRA HOSPITALIZADA EN LA  CL&IacuteNICA MEDICADIZ EN LA ESPERA DE UNA CIRUGIA USUSARIO DE FAMISANAR-PETICION DE LA SE&NtildeORA ALEJANDRA N&Uacute&NtildeEZ ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
CIRCULAR N000003- CAPACITACI6N PLATAFORMA SIA CONTRALORIA  PARA EL DIA JUEVES 12 DE ENERO A LAS 2:00 P.M-OFICINA DE CONTROL INTERNO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
INVITACION REUNION URGENTE- INTERVENCI&OacuteN EN EL PREDIO UBICADO DEBAJO DE LAS TORRES DE ENERG&IacuteA (ALTA TENSI&OacuteN) NO. 172 - 173 SECTOR MODELIA COMUNA 7 QUE EST&Aacute SIENDO NUEVAMENTE INVADIDO POR PARTE DE LAS PERSONAS QUE FUERON EXPULSADAS EL D&IacuteA DE AYER PARA EL DIA JUEVES 12 DE ENERO 11.00 AM-SECERTARIO DE GOBIERNO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INTERVENCION ANTE LA PERMANENTE CENTRAL-SOLICITUD DE SALIDA PARA EL DIA 17 Y 21 DE ENERO PARA CUMPLIR CON CITAS MEDICAS DEL SE&NtildeOR LUIS ANGEL GRAJALES CRUZ-PETICION DE LA SE&NtildeORA JULIETH ANDREA GRAJALES PEREZ ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INTERVENCION A QUIEN CORRESPONDA- SOLICITUD PARA RECUPERAR LOS ESPACIOS PUBLICOS A EL BANCO AV VILLAS  POR LA URBANIZACION SAN SEBASTIAN EL SALADO -PETICION DEL SE&NtildeOR JAIRO ANTONIO GONZALEZ HOYOS ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INTERVENCION A QUIEN CORRESPONDA -RESTABLECIMIENTO DE LOS DERECHOS DEL MENOR DAVID MATEO G&OacuteMEZ PENAGOS AL ACCESO A EDUCACION EN LA  INSTITUCI&OacuteN EDUCATIVA LEONIDAS RUBIO VILLEGAS-PETICION DE LA SE&NtildeORA CLAUDIA MARLENY PENAGOS MEDINA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
REMISION POR COMPETENCIAA RECURSO DE APELACION EXP 1780-2022 SIGDEA E-2022-724182 Y E-2022-723312 -ESCRITO DEL SE&NtildeOR LUIS ANGEL SINISTERRA-PROCURADURIA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
SOLICITUD DE DEVOLUCION DE INSCRIPCION EN EL RUV - FUD N� BE000578016- BG000591028- UNIDAD PARA LAS VICTIMAS  ;;COMUNICACIONES;COMUNICACI&OacuteN INTERNA;
REMISORIO INFORMANDO POSIBLE OCUPACI&OacuteN O PERTURBACI&OacuteN MEDIANTE V&IacuteA DE HECHO DE BIENES INMUEBLES DEL BARRIO INDUSTRIAL QUE COLINDA CON LA CANCHA DEL FUTBOL DEL BARRIO MATALLANA Y EN LA RIVERA DEL RIO COMBEIMA-POLICIA NACIONAL ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
SOLICITUD REFERIDA A LA EMPRESA IBAL POR PROBLEMAS EN ALCANTARILLADO -AGUAS NEGRAS EN EL BARRIO CALARCA - RADICA BELARMINA VARON AGUILERA  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO A CONCEJO MUNICIPAL SOLICITUD DE INFORMACION DE LA GESTI&OacuteN REALIZADA POR EL CONCEJO MUNICIPIO DE IBAGU&Eacute-VEEDURIA CIUDADANA MAS TOLIMA  ;;COPIAS A PERSONERIA/SOLICITUDES A ENTIDADES;COPIAS A PERSONERIA/SOLICITUDES A ENTIDADES;
Informes a presentar en el SIA OBSERVA –&Aacuterea contrataci&oacuten ;;COMUNICACIONES;COMUNICACIONES INTERNAS;
SOLICITUD ACOMPA&NtildeAMIENTO RECUPERACI&OacuteN PREDIO UBICADO EN EL BARRIO MODELIA SECTOR DE LA MNZ 8 CASA 10 PARA EL DIA 13 DE ENERO -POLICIA METROPOLITANA DE IBAGUE ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO A LA SECRTARIA DE MOVILIDAD -RECURSO DE REPOSICION EN SUBSIDIO DE APELACION CONTRA LA ORDEN DE COMPARENDO UNICO NACIONAL 73001000000035792605 DEL 10 DE ENERO DE 2023-PETICION DEL SE&NtildeOR JOSE LUIS AGUDELO GOMEZ-PERSONERIA MUNICIPAL DE ANZOATEGUI ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
REFERENCIA: ACCI&OacuteN DE TUTELA NULIDAD RADICACI&OacuteN: 73001-40-09-014-2022-00139-01 ACCIONANTE: ARISMEDY BARBOSA MILLAN COMO AGENTE OFICIOSA DE CRISTIAN ORLANDO CANO ACCIONADO: ALCALDIA MUNICIPAL BIENESTAR SOCIALSECRETARIA DE EDUCACION Y SECRETARIA DE SALUD MUNICIPAL Y OTROS DONDE VINCULAN A LA PERSONERIA MUNICIPAL -JUZGADO CATORCE PENAL MUNICIPAL CON FUNCI&OacuteN DE CONOCIMIENTO DE IBAGU&Eacute ;;TUTELAS;TUTELAS;
TRASLADO DE DERECHO DE PETICI&OacuteN RADICADO CDH-CE-CV19-3802-2023-PETICION DEL SE&NtildeOR JAIRO ANTONIO GONZALES QUIEN MANIFIESTA ?LE ROBAN EL ESPACIO PUBLICO A LA COMUNIDAD Y SE LO REGALAN A DR LUIS CARLOS SARMIENTO ANGULO...?. COMISION DE DERECHOS HUMANOS Y AUDIENCIAS  ;;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;
PROGRAMACI&OacuteN REUNIONES DE LA MESA DEPARTAMENTAL COVID-19 TOLIMA DE LA ADMINISTRACI&OacuteN DE JUSTICIA-CONSEJO SECCIONAL DE LA JUDICATURA DEL TOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
SOLCITUD DE INTERVENCION A SANITAS- SOLCIITUD DE ENTREGA DE MEDICAMENTO -PETICION DEL SE&NtildeOR JAIME GARCIA RAMIREZ ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE REUNION CON EL GRUPO DE PERSONAS QUE PRETEND&IacuteA INVADIR EL PREDIO UBICADO DEBAJO DE LAS TORRES DE ENERG&IacuteA (ALTA TENSI&OacuteN) NO. 172 - 173 SECTOR MODELIA COMUNA 7 PARA EL DIA 14 DE ENERO DE 2023 EN LA ALCALDIA MUNICIPAL-SECRETARIA DE GOBIERNO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
CONVOCATORIA MESA DE TRABAJO AMPARO ADMINISTRATIVO MINERO CONTRATO DE CONCESION NO L-685 EXPENDIENTE GNL 094 PREVIA DILIGENCIA CONSAGRADA EN EL ARTICULO 309 DE LA LEY 685 DE 2001 CODIGO DE MINAS DIA MIERCOLES 18 DE ENERO DE 2023 2:00 PM SALA DE AGUA INSTALACIONES DEL IBAL CRA 3 N 1-04-SECRETARIA DE AMBIENTE Y GESTION DEL RIESGO ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
SOLICITUD DE INTERVENCION A QUIEN CORRESPONDA-SOLICITUD DE CUPO ESTUDIANTIL PARA EL MENOR DILAN STEFFAN ALBA LIBERATO EN CONDICION DE DISCAPACIDAD-PETICION DE LA SE&NtildeORA ANGIE CAROLINA LIBERATO GARCIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
DENUNCIA VIA TWITTER: LA COMUNIDAD SECTOR IV ET DEL B EL JORDAN SOLICITAN ATENCI&OacuteN DE LA @ALCALDIAIBAGUE PARA SOLUCI&OacuteN URGENTE DE SUS MALLA VIAL QUE ACTUALMENTE PADECEN EL CALVARIO DE SUS CALLES DESTRUIDAS! @PERSOIBAGUE ESTE PADECIMIENTO LLEVA BASTANTES A&NtildeOS Y ES LA DESATENCI&OacuteN DE ADM ANTERIORES.-CONCEJAL WILLIAM ROSAS ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE AYUDA ADULTO MAYOR EULALIA GIRALDO RAMOS- QUIEN CONVIVE CON EL HIJO EL SE&NtildeOR GERMAN AUGUSTO GARCIA QUIEN ES AGRESIVO Y PSIQUIATRICO-PETICION DE LA SE&NtildeORA EULALIA GIRALDO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INTERVENCION A QUIEN CORRESPONDA-PROCESO DE MENOR  JHOJAN STIVEN BENAVIDEZ RINCON QUIEN SE ENCUENTRA BAJO PROTECCION DEL ICBFEN EL  ALBERGUE ALFONSO L&OacutePEZ -PETICION DEL SE&NtildeOR LUIS EDUARDO ROJAS BOH&OacuteRQUEZ GESTOR DEL CASO ALBERGUE INFANTIL ALFONSO L&OacutePEZ ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPA DE OFICIO A MINISTERIO DE TRANSPORTE-SOLCITUD DE GARANTIAS Y SEGUIMIENTO FRENTE A LOS ACUERDOS REALIZADOS POR PARTE DE LOS TRANSPORTADORES DE IBAGUE ALCALDIA MUNICIPAL Y OTROS. Art. 23 C.P LEY 1755 DE 2015: C.P.A.C.A-VEEDURIA DEL TRANSPORTE Y VIAS DEL TOLIMA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD QUEJA POR PROCEDIMIENTO EN LA DIRECCION AVENIDA 28-26 INDEPENDI9ENTE PARTE ALTA HACIA EL SE&NtildeOR HUMBERTO QUINTERO GARCIA - RADICA MARIA ISABEL SIERRA  ;;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;
SOLICITUD DE INFORMACION PROCESO DE EL ICBF DE LOS MENORES SAMUEL ESTEBAN ALARC&OacuteN S&AacuteNCHEZ DANIEL SANTIAGO ALARC&OacuteN S&AacuteNCHEZ ANA SOF&IacuteA ALARC&OacuteN S&AacuteNCHEZ MAR&IacuteA ISABELLA ALARC&OacuteN S&AacuteNCHEZ Y MAR&IacuteA SALOM&Eacute ALARC&OacuteN S&AacuteNCHEZ-PETICION DE LA SE&NtildeORA KIMBERLY ALARC&OacuteN FRAILE ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
TRASLADO POR COMPETENCIA  CUN 2022-258941-80734-NC. - PETICION DEL SE&NtildeOR JUAN CAMILO MENESES RUBIO REMITE DERECHO DE PETICI&OacuteN DONDE DENUNCI&OacuteA LOS FUNCIONARIOS DE LA SECRETAR&IacuteA DE TR&AacuteNSITO DEL MUNICIPIO DE IBAGU&Eacute POR LA POSIBLE COMISI&OacuteN DE DELITOS QUE EST&AacuteN COMETIENDO ESTOS FUNCIONARIOS -CONTRALORIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO ALCALDIA MUNICIPAL -SOLICITUD DE INFORMACI&OacuteN. APORTE POSITIVO AL PENSAMIENTO E INVITACI&OacuteN AL CAMBIO-PETICION DELS E&NtildeOR JERSON GIOVANNY GUALTERO CASTRO ;;SEGUIMIENTOS;SEGUIMIENTO A LA GESTION PUBLICA;
SOLICITUD COMUNICACION DE LA RESOLUCION 7152 DE 31 DE OCTUBRE DE 2022 - RADICA CORTOLIMA  ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
